key,value
name,Saint Lucia - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_lca_cepalstat.csv
filehash,0f772a9b6610a90ed14d8e60f7aa994a9a0652d4
columns,"year,value,source,notes"
