key,value
name,Suriname - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_sur_cepalstat.csv
filehash,15a817036e4832ea683e4518630c64781d534d9e
columns,"year,value,source,notes"
