key,value
name,U.S. Virgin Islands - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_vir_cepalstat.csv
filehash,f739401aa81d3e13e2368df01ee4c33ab076b99b
columns,"year,value,source,notes"
