year,value,source,notes
1990,0.158,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1992,0.172,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1993,0.147,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1994,0.127,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1995,0.084,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1996,0.109,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1997,0.105,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1998,0.106,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
1999,0.14,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
2000,0.14,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
2001,0.14,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
2002,0.1,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
2003,0.07,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
2004,0.084,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
2005,0.11199999999999999,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
2006,0.121,Economic Commission for Latin America and the Caribbean: Economic Development Division,National total
