year,value
1950,79088
1951,79984
1952,81428
1953,83371
1954,85776
1955,88619
1956,91893
1957,95604
1958,99767
1959,104406
1960,109526
1961,115108
1962,121083
1963,127331
1964,133697
1965,140049
1966,146364
1967,152607
1968,158629
1969,164250
1970,169356
1971,173867
1972,177844
1973,181489
1974,185097
1975,188882
1976,192905
1977,197118
1978,201511
1979,206038
1980,210660
1981,215404
1982,220274
1983,225184
1984,230014
1985,234684
1986,239135
1987,243397
1988,247585
1989,251863
1990,256338
1991,261101
1992,266097
1993,271105
1994,275820
1995,280050
1996,283678
1997,286845
1998,289926
1999,293442
2000,297759
2001,303005
2002,309039
2003,315624
2004,322400
2005,329088
2006,335622
2007,342049
2008,348340
2009,354492
2010,360498
