year,estimated-population
1950,38066
1951,38263
1952,38965
1953,40149
1954,41763
1955,43727
1956,45933
1957,48242
1958,50499
1959,52535
1960,54208
1961,55435
1962,56226
1963,56697
1964,57029
1965,57360
1966,57712
1967,58049
1968,58385
1969,58724
1970,59065
1971,59438
1972,59849
1973,60239
1974,60525
1975,60655
1976,60589
1977,60366
1978,60106
1979,59978
1980,60096
1981,60567
1982,61344
1983,62204
1984,62831
1985,63028
1986,62644
1987,61835
1988,61077
1989,61032
1990,62148
1991,64623
1992,68235
1993,72498
1994,76700
1995,80326
1996,83195
1997,85447
1998,87276
1999,89004
2000,90858
2001,92894
2002,94995
2003,97015
2004,98742
2005,100031
2006,100830
2007,101219
2008,101344
2009,101418
2010,101597
