year,estimated-population
1950,5121
1951,5297
1952,5438
1953,5549
1954,5635
1955,5697
1956,5743
1957,5777
1958,5805
1959,5831
1960,5863
1961,5901
1962,5948
1963,6001
1964,6057
1965,6114
1966,6171
1967,6228
1968,6287
1969,6344
1970,6400
1971,6454
1972,6506
1973,6554
1974,6596
1975,6630
1976,6661
1977,6691
1978,6712
1979,6715
1980,6698
1981,6652
1982,6587
1983,6537
1984,6551
1985,6662
1986,6883
1987,7198
1988,7576
1989,7966
1990,8334
1991,8668
1992,8979
1993,9266
1994,9540
1995,9807
1996,10063
1997,10305
1998,10545
1999,10797
2000,11071
2001,11371
2002,11693
2003,12023
2004,12342
2005,12637
2006,12903
2007,13145
2008,13365
2009,13571
2010,13768
