year,estimated-population
1950,46301
1951,48306
1952,49887
1953,51092
1954,51979
1955,52611
1956,53062
1957,53411
1958,53744
1959,54143
1960,54681
1961,55403
1962,56311
1963,57368
1964,58500
1965,59653
1966,60818
1967,62002
1968,63176
1969,64307
1970,65369
1971,66338
1972,67205
1973,67972
1974,68655
1975,69253
1976,69782
1977,70223
1978,70508
1979,70553
1980,70301
1981,69750
1982,68950
1983,67958
1984,66863
1985,65744
1986,64605
1987,63484
1988,62538
1989,61967
1990,61906
1991,62412
1992,63434
1993,64867
1994,66550
1995,68349
1996,70245
1997,72232
1998,74206
1999,76041
2000,77648
2001,78972
2002,80030
2003,80904
2004,81718
2005,82565
2006,83467
2007,84397
2008,85349
2009,86300
2010,87233
