year,value
1950,210995
1951,215685
1952,219607
1953,222772
1954,225223
1955,227030
1956,228297
1957,229153
1958,229758
1959,230276
1960,230858
1961,231599
1962,232514
1963,233520
1964,234478
1965,235294
1966,235936
1967,236466
1968,236997
1969,237680
1970,238616
1971,239864
1972,241367
1973,242971
1974,244453
1975,245663
1976,246536
1977,247136
1978,247592
1979,248095
1980,248784
1981,249696
1982,250780
1983,251979
1984,253193
1985,254354
1986,255450
1987,256500
1988,257497
1989,258442
1990,259336
1991,260175
1992,260963
1993,261714
1994,262441
1995,263165
1996,263884
1997,264606
1998,265370
1999,266220
2000,267190
2001,268296
2002,269524
2003,270844
2004,272205
2005,273568
2006,274923
2007,276277
2008,277634
2009,279006
2010,280396
