year,estimated-population
1950,51101
1951,51706
1952,52298
1953,52945
1954,53690
1955,54557
1956,55545
1957,56631
1958,57775
1959,58920
1960,60016
1961,61035
1962,61984
1963,62920
1964,63921
1965,65038
1966,66305
1967,67682
1968,69042
1969,70212
1970,71076
1971,71566
1972,71737
1973,71745
1974,71811
1975,72091
1976,72648
1977,73411
1978,74239
1979,74923
1980,75313
1981,75376
1982,75168
1983,74750
1984,74215
1985,73640
1986,73025
1987,72368
1988,71743
1989,71242
1990,70928
1991,70849
1992,70978
1993,71205
1994,71372
1995,71367
1996,71146
1997,70756
1998,70295
1999,69902
2000,69679
2001,69660
2002,69806
2003,70058
2004,70325
2005,70542
2006,70690
2007,70795
2008,70883
2009,70996
2010,71167
