year,estimated-population
1950,209999
1951,213055
1952,217248
1953,222551
1954,228874
1955,236061
1956,243886
1957,252057
1958,260232
1959,268044
1960,275169
1961,281412
1962,286768
1963,291459
1964,295840
1965,300170
1966,304493
1967,308691
1968,312661
1969,316246
1970,319329
1971,321989
1972,324287
1973,326081
1974,327184
1975,327525
1976,326975
1977,325750
1978,324558
1979,324341
1980,325763
1981,329071
1982,334029
1983,340205
1984,346933
1985,353694
1986,360418
1987,367161
1988,373672
1989,379671
1990,384979
1991,389426
1992,393070
1993,396253
1994,399474
1995,403085
1996,407199
1997,411694
1998,416400
1999,421046
2000,425436
2001,429530
2002,433390
2003,437037
2004,440520
2005,443875
2006,447101
2007,450180
2008,453115
2009,455910
2010,458570
