year,value
1950,3221277
1951,3275970
1952,3332684
1953,3391562
1954,3452713
1955,3516213
1956,3582104
1957,3650396
1958,3721064
1959,3794054
1960,3869288
1961,3946666
1962,4026076
1963,4107392
1964,4190471
1965,4275135
1966,4361648
1967,4449858
1968,4538688
1969,4626727
1970,4713134
1971,4797534
1972,4880740
1973,4964593
1974,5051633
1975,5143815
1976,5241510
1977,5344538
1978,5453582
1979,5569289
1980,5691941
1981,5821974
1982,5958870
1983,6100718
1984,6244898
1985,6389424
1986,6533556
1987,6677487
1988,6821300
1989,6965413
1990,7110116
1991,7255042
1992,7399862
1993,7544982
1994,7691001
1995,7838241
1996,7986858
1997,8136372
1998,8285690
1999,8433339
2000,8578234
2001,8720247
2002,8859635
2003,8996229
2004,9129933
2005,9260879
2006,9388642
2007,9513714
2008,9638255
2009,9765153
2010,9896400
