year,value
1950,82783
1951,83875
1952,84763
1953,85493
1954,86108
1955,86655
1956,87178
1957,87722
1958,88331
1959,89047
1960,89901
1961,90913
1962,92086
1963,93397
1964,94813
1965,96303
1966,97877
1967,99526
1968,101181
1969,102747
1970,104162
1971,105389
1972,106458
1973,107461
1974,108534
1975,109770
1976,111211
1977,112826
1978,114551
1979,116292
1980,117984
1981,119593
1982,121150
1983,122738
1984,124468
1985,126416
1986,128620
1987,131032
1988,133532
1989,135954
1990,138180
1991,140159
1992,141934
1993,143592
1994,145262
1995,147040
1996,148962
1997,150994
1998,153066
1999,155073
2000,156949
2001,158650
2002,160217
2003,161766
2004,163460
2005,165407
2006,167658
2007,170149
2008,172734
2009,175200
2010,177397
