year,value
1950,13521
1951,14123
1952,14489
1953,14627
1954,14552
1955,14297
1956,13902
1957,13421
1958,12918
1959,12459
1960,12102
1961,11882
1962,11798
1963,11806
1964,11837
1965,11842
1966,11809
1967,11758
1968,11698
1969,11650
1970,11629
1971,11633
1972,11655
1973,11689
1974,11733
1975,11780
1976,11832
1977,11885
1978,11928
1979,11943
1980,11919
1981,11850
1982,11743
1983,11607
1984,11464
1985,11325
1986,11183
1987,11031
1988,10891
1989,10788
1990,10734
1991,10763
1992,10856
1993,10892
1994,10717
1995,10232
1996,9375
1997,8217
1998,6936
1999,5788
2000,4956
2001,4505
2002,4377
2003,4474
2004,4645
2005,4777
2006,4846
2007,4884
2008,4901
2009,4918
2010,4953
