year,estimated-population
1950,2218000
1951,2209692
1952,2212098
1953,2221013
1954,2233406
1955,2247415
1956,2262416
1957,2278956
1958,2298566
1959,2323454
1960,2355570
1961,2395612
1962,2442157
1963,2491284
1964,2537637
1965,2577530
1966,2609261
1967,2634348
1968,2656275
1969,2680190
1970,2709813
1971,2745952
1972,2787351
1973,2833147
1974,2881783
1975,2931932
1976,2983630
1977,3036799
1978,3089805
1979,3140600
1980,3187704
1981,3230497
1982,3269287
1983,3304717
1984,3337890
1985,3369714
1986,3400048
1987,3428846
1988,3457232
1989,3486638
1990,3517984
1991,3551582
1992,3586848
1993,3622652
1994,3657368
1995,3689649
1996,3719446
1997,3746634
1998,3769718
1999,3786884
2000,3796981
2001,3799358
2002,3794728
2003,3785058
2004,3773147
2005,3761143
2006,3749763
2007,3738829
2008,3728531
2009,3718812
2010,3709671
