year,estimated-population
1950,214999
1951,222667
1952,229635
1953,236329
1954,243074
1955,250094
1956,257503
1957,265318
1958,273461
1959,281787
1960,290137
1961,298411
1962,306613
1963,314883
1964,323428
1965,332315
1966,341745
1967,351463
1968,360548
1969,367772
1970,372311
1971,373785
1972,372614
1973,369777
1974,366690
1975,364402
1976,363278
1977,363108
1978,363692
1979,364619
1980,365616
1981,366637
1982,367895
1983,369654
1984,372272
1985,375979
1986,380890
1987,386852
1988,393483
1989,400251
1990,406764
1991,412884
1992,418700
1993,424326
1994,429968
1995,435776
1996,441734
1997,447771
1998,453920
1999,460215
2000,466668
2001,473312
2002,480099
2003,486867
2004,493394
2005,499523
2006,505186
2007,510433
2008,515371
2009,520173
2010,524960
