year,value
1950,5047
1951,4984
1952,4977
1953,5016
1954,5094
1955,5198
1956,5318
1957,5442
1958,5558
1959,5656
1960,5724
1961,5760
1962,5762
1963,5741
1964,5705
1965,5669
1966,5629
1967,5589
1968,5563
1969,5573
1970,5632
1971,5750
1972,5924
1973,6132
1974,6346
1975,6546
1976,6723
1977,6886
1978,7057
1979,7262
1980,7525
1981,7855
1982,8245
1983,8671
1984,9097
1985,9502
1986,9873
1987,10224
1988,10588
1989,11019
1990,11550
1991,12205
1992,12970
1993,13793
1994,14597
1995,15334
1996,15967
1997,16527
1998,17114
1999,17866
2000,18876
2001,20186
2002,21740
2003,23412
2004,25025
2005,26450
2006,27642
2007,28638
2008,29481
2009,30247
2010,30993
