month,george-f-l-charles-airport,hewanorra-international-airport
1970-01-01 00:00:00,100.60,
1970-02-01 00:00:00,127.50,
1970-03-01 00:00:00,169.40,
1970-04-01 00:00:00,160.50,
1970-05-01 00:00:00,301.00,
1970-06-01 00:00:00,110.50,
1970-07-01 00:00:00,173.70,
1970-08-01 00:00:00,139.20,
1970-09-01 00:00:00,130.30,
1970-10-01 00:00:00,231.90,
1970-11-01 00:00:00,324.40,
1970-12-01 00:00:00,92.20,
1971-01-01 00:00:00,179.60,
1971-02-01 00:00:00,90.60,
1971-03-01 00:00:00,68.50,
1971-04-01 00:00:00,76.50,
1971-05-01 00:00:00,240.00,
1971-06-01 00:00:00,93.00,
1971-07-01 00:00:00,92.70,
1971-08-01 00:00:00,222.60,
1971-09-01 00:00:00,212.60,
1971-10-01 00:00:00,215.90,
1971-11-01 00:00:00,159.00,
1971-12-01 00:00:00,216.40,
1972-01-01 00:00:00,270.50,
1972-02-01 00:00:00,211.60,
1972-03-01 00:00:00,71.60,
1972-04-01 00:00:00,296.70,
1972-05-01 00:00:00,71.10,
1972-06-01 00:00:00,121.40,
1972-07-01 00:00:00,237.20,
1972-08-01 00:00:00,246.10,
1972-09-01 00:00:00,189.50,
1972-10-01 00:00:00,203.20,
1972-11-01 00:00:00,214.60,
1972-12-01 00:00:00,146.30,
1973-01-01 00:00:00,84.30,5.1
1973-02-01 00:00:00,42.40,5.6
1973-03-01 00:00:00,27.60,17.5
1973-04-01 00:00:00,78.40,34.8
1973-05-01 00:00:00,63.50,35.3
1973-06-01 00:00:00,169.40,82.8
1973-07-01 00:00:00,60.70,60.7
1973-08-01 00:00:00,161.70,91.2
1973-09-01 00:00:00,164.50,110.7
1973-10-01 00:00:00,265.40,232.4
1973-11-01 00:00:00,172.90,165.1
1973-12-01 00:00:00,75.40,102.1
1974-01-01 00:00:00,190.60,87.1
1974-02-01 00:00:00,91.90,69.6
1974-03-01 00:00:00,126.20,123.4
1974-04-01 00:00:00,72.80,64.3
1974-05-01 00:00:00,96.70,54.1
1974-06-01 00:00:00,106.40,36.1
1974-07-01 00:00:00,95.50,78.5
1974-08-01 00:00:00,77.70,97.3
1974-09-01 00:00:00,252.20,101.1
