month,belont,bequia,botanical-gardens,capden-park-exp.-station/pebroke,canouan,dubarton,layou,et-office/arnosvale,ustique,rabacca,rivulet,three-rivers,union-island,wallilabou
1970-01-01 00:00:00,72.14,75.18,169.16,94.23,72.90,174.75,66.8,,,,141.99,103.38,107.70,40.89
1970-02-01 00:00:00,84.84,33.27,89.92,35.81,59.69,191.52,27.18,,,,75.18,95.50,71.37,43.94
1970-03-01 00:00:00,72.90,54.10,86.87,34.54,36.58,141.48,22.1,,,,,48.51,80.26,27.43
1970-04-01 00:00:00,43.43,34.54,59.18,36.58,18.03,107.19,46.48,,,,,58.67,34.80,29.72
1970-05-01 00:00:00,113.54,77.47,114.30,91.69,61.72,121.41,42.42,,,,78.49,86.61,117.86,82.55
1970-06-01 00:00:00,395.48,299.72,305.56,240.79,220.98,248.92,467.11,,,,295.40,264.92,234.70,358.39
1970-07-01 00:00:00,422.91,366.01,419.35,344.17,279.91,560.07,447.04,,,,303.02,398.78,331.98,514.86
1970-08-01 00:00:00,289.31,215.39,217.93,210.82,197.87,425.7,180.34,,,,250.95,224.28,49.19,236.73
1970-09-01 00:00:00,252.98,179.83,193.55,213.61,163.07,359.41,156.21,,,,,214.63,276.35,263.91
1970-10-01 00:00:00,283.46,183.90,371.09,314.45,178.56,472.69,225.04,,,,,631.70,408.94,341.63
1970-11-01 00:00:00,90.42,166.12,260.10,142.24,155.96,242.82,38.35,,,,217.93,374.40,291.85,98.81
1970-12-01 00:00:00,286.26,217.17,67.28,221.49,114.81,346.96,394.21,,,,251.71,238.25,144.02,304.80
1971-01-01 00:00:00,140.97,79.50,183.13,153.92,23.62,202.69,251.97,,,,163.07,138.68,70.87,118.11
1971-02-01 00:00:00,161.80,118.62,166.88,145.29,91.19,131.57,34.54,,,,132.33,103.38,73.91,153.92
1971-03-01 00:00:00,129.03,35.56,105.41,59.18,67.56,44.96,28.19,,,,73.41,138.68,43.94,64.26
1971-04-01 00:00:00,22.10,21.84,29.46,35.81,5.59,63.75,6.86,,,,38.10,43.18,8.89,8.13
1971-05-01 00:00:00,107.70,56.90,165.86,119.89,44.45,241.55,94.74,,,,202.69,212.85,115.57,80.01
1971-06-01 00:00:00,129.03,48.77,109.73,75.44,18.29,52.58,51.31,,,,45.97,60.71,22.86,155.19
1971-07-01 00:00:00,200.41,135.13,206.50,172.97,74.63,102.62,217.68,,,,187.96,165.10,108.46,212.09
1971-08-01 00:00:00,436.12,258.57,191.77,163.58,,268.73,320.8,,,,199.90,320.80,212.60,377.95
1971-09-01 00:00:00,,213.61,248.16,,,284.48,213.61,,,,223.01,311.15,217.93,307.34
1971-10-01 00:00:00,,229.36,308.86,301.24,,247.9,307.59,,,,287.78,237.49,219.46,343.41
1971-11-01 00:00:00,,319.02,205.49,182.63,,294.89,145.29,,,,272.80,,146.30,214.80
1971-12-01 00:00:00,,319.53,226.31,144.78,,250.19,165.35,,,,281.94,211.58,144.78,179.83
1972-01-01 00:00:00,297.69,214.38,199.14,150.37,,195.07,146.56,,,,152.15,217.68,171.96,282.70
1972-02-01 00:00:00,104.65,161.54,146.56,98.04,,168.91,60.45,,,,111.76,162.05,172.97,100.84
1972-03-01 00:00:00,43.69,85.60,91.69,50.29,,85.09,40.39,,,,72.64,118.36,45.47,31.24
1972-04-01 00:00:00,81.28,33.53,116.08,72.90,,97.79,60.71,,,,78.99,89.15,111.00,56.13
1972-05-01 00:00:00,30.23,44.45,105.16,46.23,,80.77,25.91,,,,95.25,122.43,40.64,29.72
1972-06-01 00:00:00,131.83,51.82,120.40,73.91,,126.75,98.55,,,,89.66,48.26,59.94,88.39
1972-07-01 00:00:00,350.77,187.45,286.51,247.65,,223.98,246.13,,,,194.06,256.54,148.59,397.00
1972-08-01 00:00:00,338.58,167.13,377.19,286.00,,287.78,231.9,,,,229.36,264.16,171.70,391.16
1972-09-01 00:00:00,229.62,63.50,224.28,190.50,,189.74,185.17,,,,130.81,86.11,36.83,201.93
1972-10-01 00:00:00,165.86,96.01,248.67,147.32,,261.11,228.09,,,,308.86,96.27,127.25,203.20
1972-11-01 00:00:00,,185.93,251.46,213.61,,195.07,114.3,,,,146.56,0.00,64.01,173.99
1972-12-01 00:00:00,,65.79,245.62,175.77,,238.51,168.91,,,,182.63,0.00,114.55,119.13
1973-01-01 00:00:00,98.30,90.93,139.19,108.71,,325.12,90.93,,,,,0.00,105.66,75.95
1973-02-01 00:00:00,78.49,72.64,132.59,95.00,,146.05,82.8,,,,,0.00,59.69,55.63
1973-03-01 00:00:00,31.24,10.92,45.21,28.45,,73.91,55.88,,,,,0.00,11.43,37.85
1973-04-01 00:00:00,64.01,69.34,113.03,65.28,,86.36,20.57,,,,,0.00,0.00,39.37
1973-05-01 00:00:00,82.04,47.50,84.58,43.69,,45.97,48.26,,,,,0.00,53.09,40.89
1973-06-01 00:00:00,228.85,132.08,221.74,179.83,,163.83,201.93,,,,,0.00,62.74,172.72
1973-07-01 00:00:00,134.11,54.61,92.20,108.71,,162.05,91.44,,,,,0.00,58.93,106.93
1973-08-01 00:00:00,155.45,89.41,246.38,,,202.44,245.36,,,,,0.00,162.81,152.65
1973-09-01 00:00:00,168.91,82.80,194.82,108.97,,215.14,176.78,,,,,0.00,263.91,189.99
1973-10-01 00:00:00,293.62,202.95,412.24,317.25,,283.72,359.66,,,,,0.00,236.22,499.87
1973-11-01 00:00:00,199.39,153.92,356.36,242.32,,372.87,207.77,,,,,0.00,227.84,194.56
1973-12-01 00:00:00,75.95,32.77,97.79,46.99,,75.18,45.47,,,,,0.00,,56.64
1974-01-01 00:00:00,244.35,64.80,279.65,,,92.71,154,,,,,0.00,95.50,165.00
1974-02-01 00:00:00,121.92,53.80,191.77,134.87,,134.62,129,,,,,0.00,19.30,102.00
1974-03-01 00:00:00,154.94,88.10,159.77,122.43,,205.49,100,,,,,0.00,136.00,141.00
1974-04-01 00:00:00,93.22,19.30,180.59,74.17,,79.76,66,,,,,0.00,16.30,36.30
1974-05-01 00:00:00,497.84,277.00,562.86,424.43,,458.47,372,,,,,0.00,0.00,293.00
1974-06-01 00:00:00,104.14,57.20,123.95,,,68.07,80.8,,,,,0.00,60.20,
1974-07-01 00:00:00,186.69,137.00,171.20,,,138.87,152,,,,,0.00,167.00,
1974-08-01 00:00:00,271.27,86.10,282.45,199.14,,213.36,224,,,,,0.00,200.00,220.00
