year,east-belt,west-belt,tobago
1970.00,2758.00,2024.00,1956.00
1971.00,2922.00,1730.00,1788.00
1972.00,2670.00,1547.00,1674.00
1973.00,2367.00,1435.00,1783.00
1974.00,2167.00,1424.00,1585.00
1975.00,2624.00,1692.00,2108.00
1976.00,2324.00,1529.00,1661.00
1978.00,1981.00,1346.00,1387.00
1979.00,2248.00,1613.00,1443.00
1980.00,2554.00,1790.00,2102.00
1981.00,2412.00,1781.00,1881.00
1982.00,2651.00,2029.00,1863.00
1983.00,2824.00,1722.00,1832.00
1984.00,2768.80,2010.50,1945.00
1985.00,2954.80,2062.90,1744.50
1986.00,2771.30,2178.70,2125.40
1987.00,2541.00,1846.20,1610.50
1988.00,1919.70,1415.80,1643.40
1989.00,2782.10,2054.70,2069.80
1990.00,2135.10,1444.90,1649.50
1991.00,2433.50,1817.20,1822.80
1992.00,2501.90,1635.80,1820.10
1993.00,2297.50,1582.90,1556.90
1994.00,2553.70,1722.80,1778.90
1995.00,2445.30,1578.70,1635.80
1996.00,1708.70,1630.10,1097.70
1997.00,2841.00,1843.10,1673.90
1998.00,2596.90,1550.90,1635.50
1999.00,2858.20,1980.50,2070.60
2000.00,2807.10,1879.40,1920.50
2001.00,3123.70,1995.60,1888.50
2002.00,1804.60,1231.20,1687.50
2003.00,2309.10,1678.40,1913.90
2004.00,2048.20,1660.10,1844.40
2005.00,2384.00,2088.50,2232.50
2006.00,2554.40,2266.80,2023.90
2007.00,2216.70,2263.00,1204.20
2008.00,2158.40,2017.40,1734.90
2009.00,2163.40,1943.90,1895.80
2010.00,2156.60,2033.10,1726.60
