field,english,description,note,source,unit
indicator,Indicator,Regional demand,,,
set-name,Set Name,Cuba,,,
pinar-del-río,Pinar del Río,Volume,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
la-habana,La Habana,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
la-habana(ant-c-habana),La Habana(ant C Habana),,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
matanzas,Matanzas,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
villa-clara,Villa Clara,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
cienfuegos,Cienfuegos,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
sancti-spíritus,Sancti Spíritus,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
ciego-de-ávila,Ciego de Ávila,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
camagüey,Camagüey,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
las-tunas,Las Tunas,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
holguín,Holguín,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
granma,Granma,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
santiago-de-cuba,Santiago de Cuba,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
guantánamo,Guantánamo,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
isla-de-la-juventud,Isla de la Juventud,,, Instituto Nacional de Recursos Hidráulicos INRH. Demanda de agua por provincias (2011). National Institute of Hydraulic Resources NIHR . Water demand by province (2011),Imp. MG
