description,value
Jimmit,0.060
Mahaut,0.060
Belfast,0.012
,0.010
Checkhall,0.010
Antrim,0.200
Canefield,0.140
Morne Daniel,0.030
Stockfarm/Simon Bolivar,0.060
Bellevue Rawle,0.008
Goodwill,0.170
St. Aroment,0.068
Roseau,0.080
Kingshill,0.018
Morne Bruce,0.500
Morne Bruce,0.016
Fortune,0.015
Castle Comfort,0.004
Wall House,0.019
Loubiere/Madrelle,0.015
Pointe Michel,0.015
Mero,0.020
St. Joseph,0.120
Salisbury,0.030
Morne Rachette,0.015
Colihaut,0.010
Dublanc,0.012
Bioche,0.007
Portsmouth/Lagoon/Chance,0.120
Glanvillia/Balvin,0.015
"Cottage, Mne. Soleil",0.008
Clifton,0.012
Capuchin,0.030
Upper Peneville,0.011
Embas,0.030
Lower Penville,0.010
Vielle Case,0.016
Coton,0.010
Moore Park,0.015
Thibaut,0.011
Paix Bouche,0.010
Bornes,0.007
Dos D'Ane,0.009
Bense/Hamstead,0.012
Calibishie,0.024
Wesley,0.060
Woodfordhill,0.060
Marigot/Melville Hall,0.060
Castle Bruce,0.015
Good Hope,0.015
Saint Sauver,0.015
Petite Soufriere,0.015
Morne Jaune,0.010
Riviere Cyrique,0.012
La Plaine,0.011
Carse O Gowrie,0.004
Delices,0.017
Petite Savanne,0.015
Bagatelle,0.015
Quart Bois,0.015
Fabre,0.002
Dubuc,0.012
Grandbay,0.048
Geneva,0.060
Pichelin,0.012
Maranatha Square,0.002
Tetemorne/Montine,0.010
Tetemorne School,0.007
Soufriere,0.060
Gallion,0.015
Bellvue Chopin,0.010
Giraudel/Eggleston,0.220
Morne Prosper,0.010
Wotten Waven,0.010
"Trafalgar, FondCani,Shawford",0.012
Copt Hall,0.060
Laudat,0.002
Cochrane,0.005
Despor,0.004
Campbell,0.006
Warner,0.005
Carib Territory,0.045
Concord,0.030
Boetica,0.015
